participant_id,trial_slot,trial_name,condition,is_empty,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
1,1,DJ_t1,nonfatigued,False,28.37665066,23.70187165,27.40571504,751.0732168,68.16404974,-1.63110387,69.79515361,3.132,27.87835638,23.8821881,27.19960401,739.818458,66.65523261,-2.16025745,68.81549006,3.076,36.75313775,21.23567614,31.14248048,969.8540905,90.3831575,4.3919437,85.9912138,2.268,33.3990337,22.41361645,29.79298548,887.6219837,84.61052774,2.98570131,81.62482643,2.272,2.438204123,-7.55013444,21.1285797,446.41688,29.30870614,-38.33820333,67.64690947,2.272,2.656315353,-6.03735066,20.20556348,408.2647955,34.65182919,-38.09622135,72.74805054,2.276,0.97966355,1.413547364,-1.413547364,4.36638737,5.209987498,-5.209987498,5.10114107,7.266843581,7.266843581
1,2,DJ_t2,nonfatigued,False,30.59384687,27.03823447,26.65110569,710.2814346,67.90848673,0.1598978,67.74858893,2.776,30.75919582,26.44735458,26.69707845,712.7339978,68.11779023,0.45477043,67.6630198,2.784,43.34422524,40.5455605,34.14058076,1165.579255,91.08651441,5.58676522,85.49974919,2.768,39.95078773,37.42964688,33.44022706,1118.248786,86.90028089,4.93506668,81.96521421,2.764,6.803039768,-4.358861475,22.76792409,518.3783671,34.22200578,-38.34246877,72.56447455,2.764,6.809147927,-3.37565301,21.9312795,480.9810205,32.65361159,-36.81493928,69.46855087,2.696,0.08556913,0.1263837433,-0.1263837433,3.53453498,4.221223244,-4.221223244,3.09592368,4.359441997,-4.359441997
1,3,DJ_t3,nonfatigued,False,30.20063977,38.43830136,26.34200268,693.901105,70.53996992,-2.81712628,73.3570962,2.972,28.95539353,37.06521658,26.18707086,685.7626803,67.67819937,-3.50215401,71.18035338,3.024,36.81236897,53.6971371,27.41450622,751.5551512,84.17250922,3.55573646,80.61677276,2.928,33.90987587,50.51549585,27.15007416,737.1265267,82.12965217,1.84213047,80.2875217,2.928,3.930231107,-5.08209439,17.9727044,323.0181035,26.94451547,-38.46927659,65.41379206,2.912,4.220047794,-4.63558104,18.20858939,331.5527275,29.24944541,-37.40827996,66.65772537,2.912,2.17674282,3.012012217,-3.012012217,0.32925106,0.4092508048,-0.4092508048,1.24393331,1.883726839,1.883726839
1,4,f_DJ_t1,fatigued,False,38.17282985,42.05772074,28.31769466,801.8918306,76.49591225,-0.62457231,77.12048456,2.244,37.06177667,43.36452417,27.29122141,744.8107658,73.10409082,-0.81860494,73.92269576,2.248,48.22985255,61.63985438,33.60669268,1129.409793,93.38742116,3.8317174,89.55570376,2.268,45.8239069,58.95998451,33.41330117,1116.448695,91.25168664,3.97041023,87.28127641,2.264,8.734447225,19.11979674,22.20301583,492.9739121,32.86780582,-38.69419604,71.56200186,2.284,9.590194192,18.91575256,22.4054862,502.0058118,34.74948873,-37.22354305,71.97303178,2.284,3.1977888,4.234271012,-4.234271012,2.27442735,2.572343576,-2.572343576,0.41102992,0.5727241769,0.5727241769
1,5,f_DJ_t2,fatigued,False,33.72940953,33.00534805,28.23523238,797.2283478,70.27079318,0.45545034,69.81534284,2.804,33.37297021,34.78006238,27.32801689,746.820507,68.87637822,-0.23432884,69.11070706,2.804,44.04109463,51.2288056,32.93691485,1084.84036,87.23063653,5.50648201,81.72415452,2.752,42.6608722,50.34435597,33.50186257,1122.374796,86.71686155,4.26568378,82.45117777,2.804,8.358959409,-1.43013351,19.27327675,371.4591968,30.50678733,-38.34432973,68.85111706,2.72,9.387980997,-1.74147095,20.35208901,414.2075273,32.87943365,-37.21025896,70.08969261,2.784,0.70463578,1.01440411,-1.01440411,0.72702325,0.8856668537,0.8856668537,1.23857555,1.782882298,1.782882298
1,6,f_DJ_t3,fatigued,False,28.79290399,14.47554372,28.11444967,790.4222805,69.90080643,-1.60549239,71.50629882,3.088,29.5735111,16.19589416,28.23203729,797.0479293,70.91426191,-0.80027323,71.71453514,3.068,41.49610665,22.62460316,35.61284735,1268.274897,95.81344715,5.75201188,90.06143527,3.056,38.97088885,19.20527524,34.83274904,1213.320405,91.91557402,4.08029611,87.83527791,3.036,8.758127195,-2.16462615,21.035192,442.4793024,35.55233844,-37.66667778,73.21901622,3.096,7.798822687,-2.52546698,20.32410669,413.0693126,33.8241021,-37.06251096,70.88661306,3.084,0.20823632,0.2907905425,0.2907905425,2.22615736,2.502752659,-2.502752659,2.33240316,3.237074321,-3.237074321
2,1,DJ_t1,nonfatigued,False,46.93410158,69.09796195,30.00065124,900.0390748,81.01670213,8.82293006,72.19377207,2.74,47.69746438,68.75426451,30.30880012,918.623365,80.96644167,10.30792921,70.65851246,3.924,54.32364041,82.64948224,38.72101044,1499.316649,106.253662,3.14130842,103.1123535,2.736,54.69701665,82.91523486,38.67966128,1496.116197,106.8710429,3.61181449,103.2592284,2.736,16.81348806,31.58927397,21.53993184,463.9686637,39.28267531,-37.67631173,76.95898704,2.768,18.75897983,34.17539805,21.50134131,462.3076779,39.55840987,-35.43909048,74.99750035,2.764,1.53525961,2.149436553,-2.149436553,0.14687488,0.1423402182,0.1423402182,1.96148669,2.581642579,-2.581642579
2,2,DJ_t2,nonfatigued,False,43.56642543,30.05275152,29.53095148,872.0770953,80.86602305,11.35992614,69.50609691,4.972,45.63448083,33.83119298,30.07112213,904.2723861,83.49022806,13.92375583,69.56647223,4.972,51.15324488,42.24410446,42.53065928,1808.856979,112.3878978,0.69722309,111.6906747,3.8,50.90069784,45.42312548,41.56763314,1727.868125,113.672246,2.76016904,110.912077,3.8,16.06765897,4.34202096,21.84811933,477.3403182,39.58969037,-37.5529021,77.14259247,3.824,17.04092898,8.18334531,21.00079317,441.0333138,39.64843685,-36.34544856,75.99388541,3.796,0.06037532,0.08682563409,0.08682563409,0.77859768,0.6995400318,-0.6995400318,1.14870706,1.500239624,-1.500239624
2,3,DJ_t3,nonfatigued,False,47.02067666,50.91833143,29.41375039,865.1687122,84.26627738,12.8890418,71.37723558,4.392,48.09216695,50.66729832,29.01927731,842.1184558,84.77247225,15.45494609,69.31752616,4.392,50.62229346,67.62255507,36.63358657,1342.019665,110.224806,0.78061217,109.4441938,3.284,52.41437482,69.18339803,36.31465749,1318.754349,112.2254717,1.98638279,110.2390889,3.296,13.81285259,26.47703335,19.57843968,383.3153004,39.4426007,-37.67574924,77.11834994,3.308,16.91673301,31.14232141,20.03292636,401.3181386,39.64499895,-37.41004599,77.05504494,3.292,2.05970942,2.92791202,-2.92791202,0.79489507,0.7236736999,0.7236736999,0.063305,0.08212182141,-0.08212182141
2,4,f_DJ_t1,fatigued,False,50.88455384,75.05074712,28.75741331,826.98882,82.09791932,12.4806058,69.61731352,3.252,52.35272691,76.81581882,28.70414382,823.9278726,83.56570331,13.72016291,69.8455404,3.296,55.35305272,80.37400634,37.57206832,1411.660318,106.4212858,0.90019935,105.5210865,3.22,56.02660505,79.74050975,36.6524951,1343.405397,106.8912883,2.55952093,104.3317673,3.22,16.6707554,30.04703236,21.92785458,480.8308063,39.26114878,-37.29667886,76.55782764,3.184,18.4858586,31.35371394,21.22158687,450.3557492,39.48272746,-35.25996896,74.74269642,3.184,0.22822688,0.3272941483,0.3272941483,1.18931912,1.133479101,-1.133479101,1.81513122,2.39937202,-2.39937202
