participant_id,trial_count,empty_trial_count,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
1,6,0,31.64438011,29.78617,27.51103335,757.4663692,70.54666971,-1.010491118,71.55716083,2.836,31.26686729,30.28920666,27.15583815,737.8323897,69.22432553,-1.176808007,70.40113353,2.834,41.7794643,41.82860615,32.47567039,1061.585591,90.34561433,4.770776112,85.57483822,2.673333333,39.11922754,39.81139582,32.02186658,1032.523532,87.25409717,3.67988143,83.57421574,2.678,6.503834804,-0.2443422042,20.73011546,432.4542937,31.5670265,-38.30919204,69.87621854,2.674666667,6.743751492,0.10003832,20.57118571,425.0135325,33.00131845,-37.30262559,70.30394404,2.672666667,1.2254394,1.681901498,-1.584971317,2.242963562,2.633537439,-2.338315155,2.237167782,3.183782202,0.6516100961
2,6,0,47.30533157,58.89763483,29.337651,860.8692195,81.75085704,11.51301543,70.23784161,3.927333333,48.84777126,60.43317206,29.48969963,869.9539547,82.96262744,13.45155894,69.5110685,4.125333333,52.56557756,70.45313699,38.71482557,1502.589344,108.2481709,1.140404075,107.1077668,3.167333333,53.23248926,71.16164845,38.14005902,1457.852556,109.2276177,2.743960935,106.4836568,3.169333333,15.4597743,24.63958431,21.11223411,446.3701186,39.34660687,-37.54640437,76.89301123,3.184666667,17.40373571,27.12458642,20.61839944,425.5322019,39.54103983,-35.91230938,75.45334921,3.169333333,0.97992225,1.391790352,-1.022033104,1.07371985,0.9993273313,-0.5801090043,1.439662027,1.905696903,-1.905696903
3,6,0,48.56676429,63.61962526,22.64969869,521.6676924,85.34744871,14.27966822,71.0677805,2.384666667,49.73510282,64.99750642,22.9317628,537.6570287,86.45027878,13.78077181,72.66950697,2.386,45.26902449,59.03452564,23.60785119,563.8662891,86.69600043,2.603067997,84.09293244,2.366666667,46.40275713,60.088534,23.50145268,559.6691551,88.2412997,2.720532993,85.52076671,2.366,20.997607,30.28699915,14.82137527,219.9654871,38.28100627,-21.79839661,60.07940287,2.423333333,19.43008014,28.53747088,15.90653628,253.8868343,38.02029398,-28.01501018,66.03530415,2.428,1.628842438,2.196949192,2.155961527,1.92479525,2.306842588,1.769769305,5.95590128,9.422111947,9.422111947
4,6,0,60.6143182,72.88952258,40.53917828,1656.110067,108.3621721,4.437300368,103.9248717,3.245333333,59.9997162,72.97207537,40.23618313,1633.299841,108.298242,4.130134683,104.1681074,3.243333333,57.12401893,74.33570187,40.23974388,1624.558912,110.2116677,1.77450468,108.4371631,3.169333333,56.60566338,72.99285947,39.86713171,1594.867318,110.6480321,0.5700289283,110.0780032,3.18,13.880612,24.83083597,23.39483976,551.5838043,37.44778262,-39.63434356,77.08212617,3.208,14.01860462,22.58296355,23.42230263,551.1050318,37.34660813,-39.60863134,76.95523947,3.504666667,1.419993428,1.381013007,0.2191434855,2.149418177,1.965394077,1.504597417,0.57758969,0.745199153,-0.1628433334
6,6,0,47.54913445,67.80524997,37.57977962,1415.244009,94.74994761,0.270150095,94.47979751,3.078666667,48.3047359,70.00930398,39.18728534,1536.694309,98.56529099,-1.108482898,99.67377389,2.886,51.10685404,76.06244768,38.34340229,1472.598958,106.3275784,1.995533302,104.3320451,2.706666667,50.62288753,76.0735745,38.64690197,1495.362947,105.3685787,2.136991753,103.2315869,2.700666667,12.9308803,25.16854908,22.21791108,494.4497117,37.50103177,-39.48676199,76.98779376,2.717333333,10.22239507,22.77484796,21.60612658,467.2254082,34.38820169,-39.56448619,73.95268788,2.872,5.193976368,5.335492698,5.335492698,1.345403347,1.310675337,-1.082920947,3.035105875,4.037181021,-4.037181021
7,6,0,47.97609081,45.17878657,25.73248965,669.3524055,83.20285731,12.43910083,70.76375648,3.886666667,48.16822965,45.38033499,24.85844284,626.1183729,82.45105773,14.61032225,67.84073549,3.876666667,49.09590735,49.46052214,25.19643913,638.3291078,87.01792017,0.6058968,86.41202337,3.833333333,46.31143002,46.12564013,24.53275118,604.248295,83.96666758,1.365768785,82.60089879,3.833333333,15.62371461,18.27414524,18.38892146,338.9198635,36.83354816,-37.86084666,74.69439482,3.79,13.59281154,17.14750004,18.99789944,362.096655,35.57433896,-38.75413555,74.3284745,3.808666667,3.000982458,4.451352251,-4.349341753,3.811124578,4.547872716,-4.547872716,1.210840955,1.637156927,-0.5069465821
8,6,0,50.64337648,66.56378352,24.07460275,580.4359315,87.76161286,18.27700938,69.48460348,2.413333333,50.64802474,66.03825025,23.86560456,570.202997,87.71021396,15.8225606,71.88765336,2.412666667,42.25185458,61.66963333,29.82714117,890.6665199,98.29674972,4.337559913,93.9591898,2.410666667,42.98037368,61.7175972,29.57363545,875.0707653,101.003301,5.50444132,95.49885971,2.412,7.782939095,22.95147217,21.67912527,471.4568916,34.9819581,-38.79285,73.7748081,2.656666667,5.204552805,19.9680182,21.45246011,460.8691592,31.38730049,-39.38343762,70.77073811,2.643333333,2.403049878,3.367363051,3.367363051,2.127272537,2.249334898,1.650847845,3.004069987,4.161382398,-4.161382398
9,6,0,46.94581206,56.58960283,35.31887886,1255.903492,97.41789027,-3.025247907,100.4431382,2.978666667,46.1044382,56.14551292,35.06778637,1234.750201,94.89698309,-3.755476283,98.65245936,3.168666667,52.4755703,61.7639233,40.48449651,1640.851762,112.3365895,0.7114473667,111.6251422,2.943333333,52.51498154,64.38095388,41.25618443,1704.55369,114.2693468,1.284981028,112.9843658,2.938,12.30976288,18.4694911,21.39945888,458.9024151,36.81924177,-38.61909747,75.43833924,3.295333333,13.22826283,19.888404,21.90919915,481.4005378,38.54845752,-39.19782505,77.74628257,3.172,2.219108323,2.17301999,-1.724494711,1.615985897,1.424331891,1.191429421,2.307943335,3.02694959,3.02694959
10,6,0,56.47539715,47.77501434,21.41895218,459.5395903,86.99670787,25.81167354,61.18503433,3.804666667,58.42387366,50.00785974,21.46717596,461.9211449,88.46611602,26.36753621,62.09857981,3.973333333,53.83024916,47.97272693,30.07050109,906.9196186,102.655984,8.294388438,94.36159552,3.259333333,54.34269739,49.00800161,29.84003096,893.3822528,103.2334577,6.894232142,96.33922555,3.260666667,20.74309335,21.81401438,18.10546318,329.3046552,39.69302243,-20.15785279,59.85087523,3.371333333,21.28423511,22.59078098,17.99334245,325.6728601,39.70354367,-20.88730882,60.59085249,3.252,1.87679379,3.043990483,1.451964063,1.977630027,2.067501231,2.067501231,0.96260482,1.602265054,1.236814276
11,6,0,59.79199946,72.88982274,25.43103643,650.8452766,96.7099943,26.4321613,70.277833,2.519333333,61.5247047,75.01726841,25.51528936,655.8854292,98.33416624,29.22428918,69.10987706,2.518666667,52.43939343,70.67147929,29.95787436,900.0197255,100.8900024,3.590319817,97.29968255,2.32,53.35815671,72.32436356,29.99461637,902.7285601,102.1657485,7.885856233,94.27989223,2.323333333,16.46926183,28.14745603,18.95334735,360.216785,38.36009828,-32.92046033,71.28055861,2.556,18.00201692,30.1443286,18.84832591,355.8930183,39.33286805,-28.43733797,67.77020601,2.393333333,1.697906833,2.453379327,-1.631800436,3.579286808,3.783646198,-3.219963741,3.510352598,5.066378741,-5.066378741
12,6,0,58.04817991,42.0938051,25.1639334,638.2060902,90.14334201,20.5520138,69.59132821,3.028666667,57.71017536,40.27699889,26.80474886,724.4688976,91.54793142,17.97720673,73.57072469,3.180666667,58.82912936,54.07773542,26.96274531,733.9321609,92.1057707,4.821283185,87.28448752,3.002666667,58.71267645,53.32174153,28.59061105,823.8050323,93.52290152,2.70094288,90.82195864,3.120666667,19.70610726,22.13367015,18.03476936,325.6862883,36.40129745,-30.80752554,67.20882299,2.844,21.9008224,25.57357801,18.44143997,340.7196744,38.32475784,-31.06053864,69.38529647,3.279333333,3.979396482,5.532956228,5.532956228,3.537471123,4.010750373,4.010750373,2.176473482,3.186399969,3.186399969
13,6,0,46.32864126,50.9470147,25.6733581,665.9276794,80.15492531,16.11413358,64.04079173,3.028666667,48.25037025,51.72359929,24.36369707,600.3243177,79.53330921,19.65668617,59.87662304,3.040666667,47.54487399,61.19910656,34.26370947,1180.732593,89.42015164,0.2149496967,89.20520194,2.978666667,49.18612413,62.40969709,32.69221006,1074.316323,89.89497816,0.9816237333,88.91335442,2.844,12.76317063,20.00137299,22.78917644,520.1651119,36.38523582,-39.49864512,75.88388094,2.865333333,14.94468239,23.46557232,22.39592836,502.5471165,38.21872558,-39.09280673,77.31153231,2.791333333,4.1641687,6.640318843,-6.640318843,1.123666505,1.271076228,-0.3778103125,1.427651373,1.866040212,1.866040212
14,6,0,43.50777043,26.34984761,36.32152271,1323.380653,104.8601354,1.672720812,103.1874147,2.808666667,43.92120966,27.08921401,35.25179768,1246.891379,104.9621953,2.991904953,101.9702903,2.809333333,45.59628298,31.06040341,40.67693739,1656.784988,110.8204668,0.585260045,110.2352067,2.773333333,44.78255261,28.13512213,38.79603051,1507.278611,108.1879502,0.4731660833,107.7147841,2.771333333,13.07666216,5.699962411,22.33337427,499.2163337,38.61190019,-37.12625026,75.73815045,2.909333333,14.98401544,7.311276858,22.03277521,485.982337,39.02915421,-36.33607063,75.36522483,3.309333333,1.486547078,1.476603515,-1.207008745,2.546739375,2.322046999,-2.29805204,0.4393122383,0.5828221452,-0.4955938005
15,6,0,37.4992832,45.2560657,26.34196396,703.8051508,76.70940418,2.89211985,73.81728433,2.983333333,37.37813523,43.21893648,24.56611127,612.9672757,72.62444792,4.865750847,67.75869707,2.975333333,33.51726048,37.02701255,24.33152008,596.4312581,87.56247085,1.904445822,85.65802503,2.725333333,31.65670028,33.24548347,23.82581486,571.3739377,84.41391177,3.532482068,80.88142971,2.726,5.242791769,3.507049284,15.47261144,241.7272082,26.53524619,-38.79640022,65.33164641,3.317333333,3.771665484,0.105783395,16.85331062,286.5599844,32.70154819,-37.76017346,70.46172165,2.726666667,6.058587262,8.559651025,-8.559651025,4.776595323,5.735756283,-5.735756283,5.130075247,7.572477378,7.572477378
16,6,0,39.07238793,21.43287833,30.95043702,964.2995437,82.96219055,6.265821998,76.69636856,3.376666667,39.10411871,22.99238011,30.21582718,917.2814995,82.19824254,6.760988867,75.43725368,3.368,46.25748328,33.64223179,39.37923213,1557.820907,107.2833299,2.87091778,104.4124122,3.353333333,46.87112911,36.7930359,38.74697154,1509.29262,106.2305075,3.154373207,103.0761343,3.356,16.56493216,12.26797857,19.06347333,364.7199939,39.46223015,-26.00852694,65.4707571,3.204,14.0852675,9.784607349,19.21281785,371.3394424,38.57122125,-29.23513256,67.8063538,3.640666667,2.053840148,2.691343497,-1.525462293,1.629895293,1.541028702,-1.255450458,2.335596707,3.502068901,3.502068901
17,6,0,44.21129846,40.7318077,21.3278533,456.0833593,71.27720947,13.60007315,57.67713632,3.78,43.16708447,39.75991259,21.65588642,470.7093181,71.28041476,11.76692788,59.51348688,3.48,47.42844049,50.86387136,27.16098304,740.4527608,86.9717685,9.574863468,77.39690503,2.618666667,49.18084918,52.37034524,28.67109236,823.4750489,86.81016397,7.95530236,78.85486161,2.785333333,7.351150731,13.05527379,18.60993087,349.0813833,30.39244279,-36.6694931,67.06193588,2.889333333,9.930688508,14.04041858,20.84065049,435.5757409,33.59258907,-38.04587731,71.63846638,2.770666667,2.264045658,3.774136684,3.022929359,2.540987282,3.211993205,1.897895219,4.576530498,6.63338781,6.63338781
18,6,0,54.61955505,45.66580741,23.67271185,584.1981539,99.36497046,22.25772571,77.10724475,2.505333333,54.69193317,45.90462033,23.69947359,589.07447,100.2517459,21.09832378,79.15342215,2.514666667,42.12844106,36.25853239,25.84413475,691.5998966,102.4902705,0.2863089983,102.2039615,2.5,43.45760454,39.2688979,25.66164826,683.8205186,104.3469392,0.2649413483,104.0819979,2.503333333,10.21641666,10.23213365,17.39891254,304.8264909,37.35834656,-36.37218971,73.73053627,2.644666667,9.976761174,11.99490303,19.35175391,377.3343594,38.15599527,-38.19243667,76.34843193,2.665333333,2.224183742,2.746945666,2.451048146,1.87803643,1.86360057,1.86360057,2.617895668,3.50008815,3.50008815
19,6,0,53.31268034,33.04511434,34.47030919,1190.85844,101.2605953,19.19757151,82.06302385,4.456666667,52.73761166,34.75108049,32.30589262,1045.555242,97.83070946,18.98546117,78.84524829,4.498666667,39.97024619,24.05342978,35.39462691,1260.680831,90.44413556,3.181825283,87.26231028,3.318666667,40.01598452,23.18788986,33.53195296,1135.284329,88.9611966,2.751282673,86.20991393,3.154666667,6.948284041,-0.04880291667,21.97733811,483.8385101,36.37412473,-39.25573353,75.62985826,2.905333333,6.174208206,-1.910391776,21.3740696,460.3402713,34.32190439,-39.33105445,73.65295884,3.298666667,4.1885828,5.191061085,-4.046462531,2.183599882,2.519176094,-1.255116247,1.976899415,2.64530664,-2.64530664
20,6,0,40.77081827,41.6986674,22.23270781,495.8527866,75.1650673,14.66780232,60.49726498,2.622666667,43.48803612,44.73266129,22.14567423,493.0281217,78.34294641,16.77914091,61.5638055,2.607333333,56.89969285,67.79414384,41.37801221,1717.273947,120.6238487,0.1181072383,120.5057415,2.539333333,58.06661245,66.78428074,39.2310663,1543.170973,118.3415814,1.75555931,116.5860221,2.537333333,10.96350724,30.79761847,30.67193526,941.7683704,39.70000767,-39.68817544,79.38818311,3.579333333,12.30639001,31.63932698,29.54336603,873.7814878,39.67057184,-39.67758571,79.34815755,3.404666667,1.723241785,2.79979663,1.74579972,3.919719328,3.272902893,-3.272902893,0.04002555667,0.05042023006,-0.05042023006
21,6,0,39.61769296,38.61420603,34.08015441,1168.700642,89.72857448,-4.467734922,94.19630941,3.419333333,39.78005693,38.35029782,35.5959907,1277.531526,92.82671528,-4.724479248,97.55119454,3.416666667,40.31774061,38.89561658,32.14951582,1048.240526,101.118966,0.214523055,100.9044429,2.482666667,41.46469704,40.3457929,34.07477202,1172.427387,105.0161261,0.1703404683,104.8457856,2.482,9.334681942,14.01364114,22.46856151,516.5763315,38.63388069,-38.8095478,77.44342849,2.497333333,8.820314292,13.29227844,22.17671251,499.5970357,38.82760345,-38.97154132,77.79914477,2.489333333,3.354885127,3.455931094,3.455931094,3.941342685,3.826148356,3.826148356,0.89237786,1.16211336,0.4764045642
22,6,0,42.14222878,40.20125486,36.33911628,1326.558295,91.69720153,-3.038279053,94.73548059,2.262,41.53732965,39.93510967,35.63756029,1278.593186,89.36846888,-3.604943903,92.97341279,2.445333333,46.24644989,46.89560325,32.6421418,1072.547053,106.4121722,2.428158207,103.984014,2.214,45.1952574,45.17791749,32.95503071,1096.524433,106.0417462,2.100566065,103.9411801,2.212,7.196267107,9.035511537,21.04061223,443.6606313,34.69267832,-39.4467453,74.13942363,2.176666667,8.067486794,9.741052995,22.26887004,496.4438106,36.61388785,-39.48263247,76.09652032,2.192666667,1.7620678,1.877348147,-1.877348147,2.002577415,1.943503595,-0.05306333864,1.957096695,2.610699722,2.610699722
23,6,0,56.70033811,45.50086087,24.83220449,621.0054398,88.82265924,-0.5399324817,89.36259172,2.924666667,57.1710963,46.46126416,24.46006378,603.9229858,88.44059723,-0.2162651983,88.65686242,2.98,51.63125326,40.49177055,35.2372674,1244.195929,97.59452938,0.8474688967,96.74706049,2.676666667,50.69263419,39.53194155,36.22129404,1314.251711,98.17279387,0.7364677267,97.43632613,2.680666667,9.388160672,9.665945534,24.8004719,616.5455147,36.74113602,-39.31639886,76.05753488,2.024666667,9.274202959,8.525832083,25.35393674,644.1474371,37.28283026,-38.98239671,76.26522696,2.618666667,0.93298086,1.040555673,-0.815802915,2.572316313,2.660839301,0.639391629,1.455287495,1.91423338,0.2670387609
24,6,0,60.09528674,57.80188023,36.19369526,1327.300103,105.076214,10.66796505,94.408249,2.314,60.18904691,58.03560739,34.59121979,1210.775465,103.5801788,12.96369809,90.61648072,2.112,56.16843264,53.9925499,30.92666763,959.4845067,99.01539856,1.392671387,97.62272717,2.091333333,56.27016714,55.20457758,30.12984605,911.8310277,98.38972321,0.37022584,98.01949737,1.922666667,11.56097901,15.47057423,17.22867315,297.2961153,29.84424196,-37.14783546,66.99207743,2.74,10.66711415,15.70775603,18.52158272,345.121967,30.14280281,-39.05476166,69.19756447,2.313333333,3.791768272,4.030462479,-4.030462479,1.003445777,1.018700696,0.3974715467,2.95700658,4.383687395,3.304165509
25,6,0,37.46531617,34.86487366,36.5618101,1346.984416,87.00765838,-11.20811725,98.21577561,2.943333333,36.75792509,33.6811611,36.35348499,1332.295222,86.08398973,-12.27072938,98.35471912,2.966666667,45.74844287,40.37282173,35.08433241,1235.007994,95.20008224,3.466371842,91.7337104,2.828,45.67926276,41.02908371,34.7008087,1207.445922,95.88839438,3.64734026,92.24105411,2.76,7.861754416,10.33090208,20.33409624,415.556042,33.51075096,-37.34290055,70.85365152,2.026666667,4.906144291,7.969523215,20.21630715,411.8757679,30.13337438,-39.18591892,69.31929329,2.434,0.7990995017,0.8090408118,0.139443683,1.689857368,1.833679568,0.5671174142,2.149885605,3.079904459,-2.185113255
26,6,0,43.07653011,40.06821373,39.31710176,1548.155549,100.8183735,-9.841138223,110.6595117,1.932666667,41.90634972,38.63798299,37.65894594,1421.195458,97.67337285,-7.963125665,105.6364985,1.931333333,46.6151549,42.65034872,34.04030077,1162.607729,101.9893741,3.281782015,98.70759209,1.748666667,46.65838243,42.6047863,33.23375921,1108.002187,101.8479452,0.2624274317,101.5855177,1.748,7.716186055,10.2583084,17.69760567,315.2079164,31.1643114,-30.47928183,61.64359323,1.778666667,7.322148286,10.39397298,20.1439042,407.4735475,32.46922575,-38.85459624,71.32382198,1.784666667,5.023013197,4.647505633,-4.647505633,2.877925628,2.900130697,2.900130697,9.68022875,14.54987995,14.54987995
27,6,0,65.67558265,69.78140047,44.01503259,1981.504029,117.2703516,-2.918087188,120.1884388,2.328,61.19347835,63.87159894,41.98031753,1802.577427,111.8632447,-4.040397722,115.9036424,2.562666667,61.94247272,68.29478536,35.64260898,1285.101674,107.3853023,4.215279547,103.1700227,1.787333333,60.82761841,66.5101983,36.30379838,1333.87237,107.7636784,3.550247438,104.2134309,1.794666667,12.16478299,21.55077987,23.85120411,575.4907653,35.32173287,-39.61091497,74.93264784,1.865333333,7.99176487,16.77098362,22.66703426,519.5373094,31.34829458,-39.55264648,70.90094106,1.844666667,4.284796398,3.581714256,-3.581714256,1.582719172,1.534295918,1.018601022,4.031706785,5.532939287,-5.532939287
28,6,0,28.17043643,13.96976518,33.58724954,1166.505521,83.56870154,-4.392829362,87.9615309,3.938,26.76773922,10.3429173,33.29153037,1145.908238,81.67168657,-4.962783282,86.63446985,3.95,31.82367574,15.34084894,32.84299565,1123.705809,91.85389992,1.1590202,90.69487972,3.611333333,32.91762846,14.89259968,32.92626659,1125.390011,92.92042437,2.843431033,90.07699335,3.615333333,8.631615308,4.200380925,17.03919009,300.0206547,37.05668021,-33.12428873,70.18096893,3.424666667,8.816022661,4.394508392,16.55212298,281.359691,36.0282075,-31.73065938,67.75886688,3.926666667,3.057186873,3.336109026,-1.670951614,1.476619272,1.741620774,-0.5985224351,2.422102052,3.514084853,-3.514084853
