participant_id,category,feature,value,percentile,z_score,population_comparison,plain_language_explanation,literature_concept,literature_language,source
1,ankle,ankle_angle_left_median,0.10003832,4.761904762,-1.600138219,below the reference mean by 1.60 SD,"The athlete's ankle_angle_left_median value is 0.1, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
1,ankle,ankle_angle_right_median,-0.2443422042,2.380952381,-1.68217796,below the reference mean by 1.68 SD,"The athlete's ankle_angle_right_median value is -0.244, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
1,hip,hip_flexion_left_maximum,69.22432553,2.380952381,-2.030402367,below the reference mean by 2.03 SD,"The athlete's hip_flexion_left_maximum value is 69.2, which is below the dataset mean and at percentile 2.4. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
1,hip,hip_flexion_right_maximum,70.54666971,2.380952381,-1.980471046,below the reference mean by 1.98 SD,"The athlete's hip_flexion_right_maximum value is 70.5, which is below the dataset mean and at percentile 2.4. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
2,ankle,ankle_angle_left_maximum,39.54103983,95.23809524,1.390170902,above the reference mean by 1.39 SD,"The athlete's ankle_angle_left_maximum value is 39.5, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
2,hip,hip_flexion_left_time_to_peak,4.125333333,97.61904762,1.765623967,above the reference mean by 1.77 SD,"The athlete's hip_flexion_left_time_to_peak value is 4.13, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
2,hip,hip_flexion_right_time_to_peak,3.927333333,95.23809524,1.610384726,above the reference mean by 1.61 SD,"The athlete's hip_flexion_right_time_to_peak value is 3.93, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
2,symmetry,knee_flexion_rom_percent_difference,0.9993273313,4.761904762,-1.188074634,below the reference mean by 1.19 SD,"The athlete's knee_flexion_rom_percent_difference value is 0.999, which is below the dataset mean and at percentile 4.8. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,ankle,ankle_angle_left_mean,19.43008014,95.23809524,1.830375901,above the reference mean by 1.83 SD,"The athlete's ankle_angle_left_mean value is 19.4, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_left_median,28.53747088,95.23809524,1.627256502,above the reference mean by 1.63 SD,"The athlete's ankle_angle_left_median value is 28.5, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_left_minimum,-28.01501018,97.61904762,2.221624061,above the reference mean by 2.22 SD,"The athlete's ankle_angle_left_minimum value is -28, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_left_std,15.90653628,2.380952381,-1.655979436,below the reference mean by 1.66 SD,"The athlete's ankle_angle_left_std value is 15.9, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_left_variance,253.8868343,2.380952381,-1.452516876,below the reference mean by 1.45 SD,"The athlete's ankle_angle_left_variance value is 254, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_mean,20.997607,100,2.219983393,above the reference mean by 2.22 SD,"The athlete's ankle_angle_right_mean value is 21, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_median,30.28699915,95.23809524,1.758105712,above the reference mean by 1.76 SD,"The athlete's ankle_angle_right_median value is 30.3, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_minimum,-21.79839661,97.61904762,3.147931123,above the reference mean by 3.15 SD,"The athlete's ankle_angle_right_minimum value is -21.8, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_rom,60.07940287,4.761904762,-2.443766821,below the reference mean by 2.44 SD,"The athlete's ankle_angle_right_rom value is 60.1, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_std,14.82137527,2.380952381,-1.855624368,below the reference mean by 1.86 SD,"The athlete's ankle_angle_right_std value is 14.8, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,ankle,ankle_angle_right_variance,219.9654871,2.380952381,-1.581003576,below the reference mean by 1.58 SD,"The athlete's ankle_angle_right_variance value is 220, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,knee,knee_flexion_left_std,23.50145268,2.380952381,-2.066368103,below the reference mean by 2.07 SD,"The athlete's knee_flexion_left_std value is 23.5, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,knee,knee_flexion_left_variance,559.6691551,2.380952381,-1.896593578,below the reference mean by 1.90 SD,"The athlete's knee_flexion_left_variance value is 560, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,knee,knee_flexion_right_maximum,86.69600043,2.380952381,-1.689915766,below the reference mean by 1.69 SD,"The athlete's knee_flexion_right_maximum value is 86.7, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,knee,knee_flexion_right_std,23.60785119,2.380952381,-1.996953335,below the reference mean by 2.00 SD,"The athlete's knee_flexion_right_std value is 23.6, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,knee,knee_flexion_right_variance,563.8662891,2.380952381,-1.823451983,below the reference mean by 1.82 SD,"The athlete's knee_flexion_right_variance value is 564, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
3,symmetry,ankle_angle_rom_absolute_difference,5.95590128,97.61904762,2.001581418,above the reference mean by 2.00 SD,"The athlete's ankle_angle_rom_absolute_difference value is 5.96, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
3,symmetry,ankle_angle_rom_percent_difference,9.422111947,97.61904762,2.241348428,above the reference mean by 2.24 SD,"The athlete's ankle_angle_rom_percent_difference value is 9.42, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
