feature,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
hip_flexion_right_mean,1,0.8065503739,-0.1300876696,-0.09991461818,0.4408275422,0.5213732462,-0.1004940598,-0.3237360299,0.9851142911,0.7861667555,-0.1453205144,-0.1133899571,0.4079025149,0.5104211147,-0.1114356097,-0.3187772917,0.796607457,0.6971316404,-0.07559817611,-0.07348903488,0.07106222588,0.2530604252,-0.01970523443,-0.3685479723,0.7824783848,0.6868245179,-0.0730090388,-0.0728469294,0.06907211388,0.2259967158,-0.007007521333,-0.3646920388,0.626231524,0.6279164704,0.1877363217,0.1723123491,0.1851433358,0.08355411028,0.03561561305,-0.36416998,0.5051375066,0.577953861,0.1984025757,0.1739297001,0.08184991453,0.07778022953,-0.01005858337,-0.3458683498,0.09614851117,0.1638295423,-0.09008054612,0.01181421748,0.0177499389,0.03544336454,0.04151587617,0.03014841336,-0.0558417372
hip_flexion_right_median,0.8065503739,1,-0.1254582002,-0.1098559395,0.2167108115,0.3492993865,-0.1156980522,-0.3759275477,0.8060749711,0.9900167614,-0.1271155144,-0.1064987877,0.2056841138,0.344736262,-0.1183415354,-0.3731309191,0.7255099056,0.9159779774,-0.08702190581,-0.07962928116,0.06628341361,0.1965993765,-0.005673923069,-0.4254303118,0.7141138751,0.9060602862,-0.08152828698,-0.07481250143,0.06850544615,0.231110918,-0.009042200549,-0.432583988,0.5504184679,0.8119075513,0.1883314368,0.1836678827,0.122210283,-0.001351011465,0.07618474925,-0.3690761568,0.4354740711,0.7574710227,0.2002909168,0.1845730734,0.06529129338,0.006635304435,0.04463744599,-0.3788754115,0.04760635421,0.1018936809,-0.04728680519,0.05052496209,0.05239436349,-0.02671516266,0.1244363043,0.1130396266,-0.04466307772
hip_flexion_right_std,-0.1300876696,-0.1254582002,1,0.988831994,0.638903389,-0.7061179391,0.8964538423,0.04541036297,-0.1358188462,-0.1215376213,0.98736553,0.9796889333,0.6374624219,-0.6903370645,0.8844970934,0.11377754,-0.03179639502,-0.1166058074,0.6748032701,0.6576427045,0.4217039801,-0.4918578318,0.5252764173,0.02065587658,-0.01488794839,-0.1090820786,0.6824529006,0.6724887567,0.4231622638,-0.5298591373,0.5318526956,0.001788180229,-0.2676110872,-0.207530764,0.1522613608,0.1078019216,-0.142500319,-0.382007844,0.2687603976,-0.02877384246,-0.2514517697,-0.2126907154,0.07604925757,0.04103990257,-0.2362894727,-0.3676538574,0.1650519067,-0.006365951331,0.05518676164,-0.2366257267,0.05281771698,-0.2266649678,-0.3009030501,0.09088843325,0.04729264348,0.03055064649,-0.1918378953
hip_flexion_right_variance,-0.09991461818,-0.1098559395,0.988831994,1,0.6586228812,-0.6817734048,0.8912298581,0.03099753853,-0.1172118725,-0.1131694203,0.9698873042,0.9852488809,0.6430192162,-0.6725509675,0.8752720986,0.09776053456,-0.008245417442,-0.1066863238,0.6547457286,0.6442674153,0.4237506559,-0.425228847,0.5055930021,0.006407486423,0.003325673827,-0.1020799707,0.6630495597,0.6596691139,0.4181616936,-0.4759025588,0.5112476341,-0.01053376867,-0.2553743828,-0.1966341012,0.134075322,0.09188820697,-0.1549683166,-0.3566841968,0.2375085947,-0.03933864774,-0.2601297918,-0.2128347584,0.06359186703,0.03030201371,-0.2722050336,-0.3622032456,0.1318484981,-0.01921771393,0.07631909643,-0.2018049308,0.0230107972,-0.2166431257,-0.2853348784,0.08377880294,0.0508353447,0.03555475837,-0.1869960615
hip_flexion_right_maximum,0.4408275422,0.2167108115,0.638903389,0.6586228812,1,-0.1291479542,0.7072736106,-0.2080600348,0.4243792913,0.2053806971,0.6243936081,0.6473268678,0.9723844645,-0.1295837147,0.6922187869,-0.1571807264,0.2390858984,0.0738773139,0.3773156871,0.3666825152,0.4424911362,-0.246157245,0.4642090127,-0.1704263784,0.2450326035,0.07248255484,0.3871445095,0.3825182679,0.4526471139,-0.309045037,0.4915284937,-0.1656762793,0.09550742153,0.0741995102,0.09108910403,0.05637227588,0.05942923737,-0.1832625232,0.2072808728,-0.1787890081,0.03444906882,0.05302217686,0.04270890168,0.007146433577,-0.1094268583,-0.2119821028,0.1160866792,-0.1595266238,0.1560347939,-0.05048363859,-0.007142252,-0.1618756709,-0.2241351307,0.1558178763,0.04709949387,0.02800498472,-0.1567630895
hip_flexion_right_minimum,0.5213732462,0.3492993865,-0.7061179391,-0.6817734048,-0.1291479542,1,-0.7923624676,-0.07032863809,0.523410793,0.3416076586,-0.7110273983,-0.6871292662,-0.1373861318,0.9825642805,-0.7838213503,-0.1343360049,0.255149534,0.2782745954,-0.453064651,-0.4387245676,-0.2444857477,0.4750527029,-0.3657050132,-0.06048706765,0.2342820781,0.2643726291,-0.4733299666,-0.4660386258,-0.2551617559,0.5015744286,-0.3753675316,-0.03726327192,0.4874549786,0.3703519904,-0.06135405511,-0.0387563129,0.2727244914,0.3912548559,-0.1975424162,0.01014701176,0.4297552307,0.3627770971,0.003266841731,0.01295711911,0.2794706883,0.3810502462,-0.144091592,-0.01300826585,0.06641566998,0.3167204319,-0.06732974515,0.1553173607,0.2110783852,-0.08589224456,-0.07065169119,-0.06236879286,0.1161662826
hip_flexion_right_rom,-0.1004940598,-0.1156980522,0.8964538423,0.8912298581,0.7072736106,-0.7923624676,1,-0.0778610857,-0.1120656563,-0.1171848572,0.89102739,0.8880987689,0.6961575402,-0.7802004447,0.9846491813,-0.0009284866876,-0.03481243892,-0.1529353012,0.5551200861,0.5383553368,0.4465181506,-0.4901065664,0.5462975096,-0.06172491539,-0.01627738561,-0.1438825059,0.5756141563,0.567570008,0.4603771717,-0.5477029175,0.569993037,-0.07535912473,-0.2887552495,-0.2183800083,0.09977820075,0.06231015108,-0.1578670705,-0.3916732154,0.2683497761,-0.1172253902,-0.2851837688,-0.2260081415,0.02394566665,-0.004840758423,-0.2665572305,-0.402066607,0.1741412187,-0.08886748356,0.04864461208,-0.2568509282,0.04360613591,-0.2103136962,-0.2883684927,0.1570930443,0.07934405403,0.06169209686,-0.1792572157
hip_flexion_right_time_to_peak,-0.3237360299,-0.3759275477,0.04541036297,0.03099753853,-0.2080600348,-0.07032863809,-0.0778610857,1,-0.3000921699,-0.3545302169,0.05898654043,0.03980434532,-0.1646029587,-0.0599615396,-0.05891147123,0.9094997345,-0.3977622178,-0.3548524167,0.06692179847,0.0635496213,-0.2390162727,-0.1488287858,-0.159970935,0.7780396218,-0.3701429233,-0.3444187852,0.06435000947,0.06359737913,-0.2213256276,-0.1093678285,-0.1621306142,0.7646791611,-0.1599437089,-0.2974291289,-0.1192362089,-0.1255270741,0.0459899357,-0.001671385638,0.02975387556,0.5935272906,-0.05675053187,-0.2524440605,-0.1360784347,-0.1316486398,0.0462865238,0.09482379084,-0.05400511405,0.62231459,-0.001123842852,-0.03243200097,0.1227889045,-0.002115759085,0.01879887962,-0.02144622326,-0.1434413852,-0.1417396038,-0.1200468199
hip_flexion_left_mean,0.9851142911,0.8060749711,-0.1358188462,-0.1172118725,0.4243792913,0.523410793,-0.1120656563,-0.3000921699,1,0.8037979549,-0.1420011632,-0.1237780673,0.4197055094,0.5279969604,-0.1166566965,-0.2932633642,0.7816468668,0.7019082093,-0.05333453612,-0.05332305952,0.07936974553,0.1734488984,0.01316722119,-0.3444771831,0.7833641628,0.69740868,-0.06160534336,-0.06423647038,0.08288386813,0.1642252774,0.02370572627,-0.3434008077,0.6506387528,0.6531636741,0.2301261529,0.2164430283,0.2326412211,0.07945893391,0.06855355823,-0.3262724797,0.5466665574,0.6142070772,0.2247287328,0.2026585282,0.132270275,0.1005293842,0.007661244229,-0.3110279339,0.05846154921,0.1159300517,-0.0418827716,0.004569789981,0.0005373759263,0.037326015,0.03801918902,0.0260541915,-0.08179126494
hip_flexion_left_median,0.7861667555,0.9900167614,-0.1215376213,-0.1131694203,0.2053806971,0.3416076586,-0.1171848572,-0.3545302169,0.8037979549,1,-0.1181415111,-0.1064501233,0.2099756638,0.3445707331,-0.1155755953,-0.3521207235,0.7115504772,0.9135307209,-0.06108593578,-0.05415064024,0.0853504161,0.1487640306,0.02632160977,-0.4064889249,0.7101828438,0.9134923902,-0.06345698485,-0.05786305902,0.08911151752,0.192454023,0.02071625943,-0.4151242089,0.5540546539,0.8220000314,0.2223092262,0.2171350957,0.157198448,-0.009571321475,0.1052988126,-0.344596225,0.4521639817,0.7714403676,0.2262240156,0.2104460407,0.1015712551,0.01325056978,0.06665780686,-0.3513636812,0.01853067677,0.06371139068,-0.01294651078,0.04013548032,0.03393761356,-0.02695035111,0.1096554376,0.09787380978,-0.05977150729
