feature,count,missing_count,missing_percent,mean,median,std,min,q1,q3,max,iqr,skewness,kurtosis
hip_flexion_right_mean,249,9,3.488372093,47.02621933,46.84319556,11.62591962,12.76542728,38.97129128,53.97077043,83.12317837,14.99947915,0.3757503554,0.6638517308
hip_flexion_right_median,249,9,3.488372093,45.11089495,40.87568289,21.33525281,0.26581918,30.96399729,57.23878892,102.8788415,26.27479163,0.7153139302,0.111430173
hip_flexion_right_std,249,9,3.488372093,31.60160618,32.92175236,7.5340111,11.35824125,24.77112961,37.48314911,53.54109812,12.7120195,-0.1912224513,-0.4212512078
hip_flexion_right_variance,249,9,3.488372093,1055.422836,1083.841778,470.6412843,129.0096443,613.6088623,1404.986467,2866.649188,791.3776047,0.3824646026,0.1215813795
hip_flexion_right_maximum,249,9,3.488372093,92.06944755,91.18560363,11.73054226,56.8798534,84.78718732,100.7610147,122.9488546,15.97382738,0.06429896172,-0.2777238738
hip_flexion_right_minimum,249,9,3.488372093,4.254254256,2.19420598,13.59360794,-27.90511828,-4.49068291,13.85407669,51.96394634,18.3447596,0.3372253309,0.1642222884
hip_flexion_right_rom,249,9,3.488372093,87.81519329,91.61301946,19.06776771,36.84708152,71.50629882,101.4668013,139.4954087,29.96050248,-0.1162565763,-0.6167047905
hip_flexion_right_time_to_peak,249,9,3.488372093,2.873108434,2.804,0.9341484408,0.316,2.336,3.396,5.848,1.06,0.16870669,0.5862353665
hip_flexion_left_mean,249,9,3.488372093,46.87178313,46.8847108,11.29861274,11.25944934,39.48558098,53.38482122,82.89102124,13.89924024,0.2132904002,0.589638009
hip_flexion_left_median,249,9,3.488372093,44.9757631,41.14446723,21.05659305,-2.07207462,30.59599916,57.89372857,101.7486409,27.29772941,0.6600599185,0.05349021049
hip_flexion_left_std,249,9,3.488372093,31.22859463,32.54966559,7.566594294,8.965434225,24.78673018,36.99838357,51.66146395,12.21165339,-0.3362239996,-0.2168957307
hip_flexion_left_variance,249,9,3.488372093,1032.478472,1059.48073,459.3857358,80.37901083,614.3819931,1368.880387,2668.906857,754.4983939,0.2660929262,-0.2039346814
hip_flexion_left_maximum,249,9,3.488372093,91.50879387,91.40506705,11.82698322,55.32403601,83.39028608,100.1897145,118.1339837,16.79942842,-0.02656181664,-0.4066471477
hip_flexion_left_minimum,249,9,3.488372093,4.325283434,1.94914449,13.63595744,-29.07968213,-4.6007278,15.45494609,47.09642625,20.05567389,0.1669389595,-0.2465993566
hip_flexion_left_rom,249,9,3.488372093,87.18351043,90.39475363,19.16644421,32.11368845,70.36483336,101.3377045,135.5942036,30.97287114,-0.203518922,-0.5869179336
hip_flexion_left_time_to_peak,249,9,3.488372093,2.903196787,2.84,0.9496021897,0.248,2.336,3.42,5.828,1.084,0.05223837597,0.5363154687
knee_flexion_right_mean,249,9,3.488372093,48.48859167,47.81377583,9.572527317,16.08264731,42.76585344,52.79368121,80.0270263,10.02782777,0.3853840976,1.134368652
knee_flexion_right_median,249,9,3.488372093,48.06461293,44.10952293,22.42256341,6.20292549,31.51260549,64.60865356,99.76915236,33.09604807,0.3492233423,-0.6418607478
knee_flexion_right_std,249,9,3.488372093,33.77839812,34.60373937,5.696758795,17.29158598,30.02453544,37.94448536,44.94443347,7.91994992,-0.4329659462,-0.3801082037
knee_flexion_right_variance,249,9,3.488372093,1173.433241,1197.418778,372.8967736,298.9989457,901.4727285,1439.783969,2020.0021,538.3112405,-0.07399768296,-0.7220443154
knee_flexion_right_maximum,249,9,3.488372093,101.0114613,101.5840303,9.428262503,76.21101415,94.5380749,107.8155504,128.9035152,13.2774755,-0.06860060513,-0.2466602225
knee_flexion_right_minimum,249,9,3.488372093,2.552388809,1.18083711,3.491542063,0.08091501,0.43486511,3.23657415,27.04423823,2.80170904,3.120801236,13.71689508
knee_flexion_right_rom,249,9,3.488372093,98.4590725,98.34745618,10.83863266,67.49383667,91.046683,106.2662387,128.7389201,15.2195557,-0.1602916128,-0.3070452308
knee_flexion_right_time_to_peak,249,9,3.488372093,2.619694779,2.604,0.8025951302,0.296,2.176,3.028,5.82,0.852,0.1621613416,1.694266636
knee_flexion_left_mean,249,9,3.488372093,48.54209582,48.39213362,9.546288192,17.62469999,43.04263005,53.34400371,78.6198716,10.30137366,0.2522017345,0.8218106312
