feature,ranking_score,variance_score,pca_loading_score,nonredundancy_score,max_absolute_correlation
hip_flexion_right_variance,0.4324343676,1,0.07550191605,0.01116800598,0.988831994
knee_flexion_rom_symmetry_index,0.4122556809,3.682827818e-05,0.6998756779,0.6614533922,0.3385466078
hip_flexion_left_variance,0.4067440954,0.9527411173,0.05766341809,0.01291140631,0.9870885937
knee_flexion_rom_absolute_difference,0.4045320127,9.741978987e-06,1,0.02264057957,0.9773594204
knee_flexion_rom_percent_difference,0.3812681857,1.27893144e-05,0.941837385,0.02264057957,0.9773594204
hip_flexion_rom_symmetry_index,0.3774849037,7.664943026e-05,0.6568169389,0.5736373417,0.4263626583
hip_flexion_right_maximum,0.3745032272,0.0006183289883,0.9218319713,0.02761553554,0.9723844645
hip_flexion_left_maximum,0.369384703,0.000628585801,0.909025404,0.02761553554,0.9723844645
ankle_angle_rom_symmetry_index,0.3439989861,0.0001094754104,0.6335435217,0.4526889362,0.5473110638
ankle_angle_left_maximum,0.3204036194,5.051223983e-05,0.6497902248,0.302336623,0.697663377
knee_flexion_right_variance,0.3078896452,0.6277640793,0.1392672195,0.005385628654,0.9946143713
ankle_angle_right_rom,0.3013289713,0.0001176169487,0.6536381433,0.199133336,0.800866664
ankle_angle_left_rom,0.2984802019,8.483999825e-05,0.6226572594,0.2469168107,0.7530831893
knee_flexion_left_variance,0.2748407658,0.5679352889,0.1165725645,0.00518812211,0.9948118779
hip_flexion_rom_percent_difference,0.2518554077,3.400592115e-05,0.5859205387,0.08736794953,0.9126320505
hip_flexion_rom_absolute_difference,0.2459046137,1.832339404e-05,0.5710592362,0.08736794953,0.9126320505
ankle_angle_left_variance,0.2408379629,0.06934323042,0.5291537641,0.007195825236,0.9928041748
ankle_angle_right_minimum,0.2359848645,0.000101838061,0.5212829578,0.1371547308,0.8628452692
hip_flexion_right_minimum,0.2174303124,0.0008313312766,0.5340265901,0.0174357195,0.9825642805
hip_flexion_left_time_to_peak,0.2134072994,1.162900145e-06,0.4882669529,0.09050026547,0.9094997345
hip_flexion_left_minimum,0.2120599523,0.0008365373489,0.5205954836,0.0174357195,0.9825642805
ankle_angle_left_std,0.2119378801,3.533378345e-05,0.5262114539,0.007195825236,0.9928041748
ankle_angle_right_variance,0.2078321017,0.08763493033,0.4276631648,0.008564318557,0.9914356814
ankle_angle_right_maximum,0.2074814685,4.239399692e-05,0.3674929656,0.302336623,0.697663377
ankle_angle_rom_percent_difference,0.2074002961,4.813121183e-05,0.5171695788,0.002566060348,0.9974339397
knee_flexion_right_minimum,0.2066540586,5.212899703e-05,0.4533202168,0.1265256017,0.8734743983
hip_flexion_right_time_to_peak,0.2010333253,1.031474994e-06,0.457332149,0.09050026547,0.9094997345
ankle_angle_rom_absolute_difference,0.1907518604,2.022890937e-05,0.4755763919,0.002566060348,0.9974339397
ankle_angle_left_minimum,0.1876035298,7.635073941e-05,0.4003551083,0.1371547308,0.8628452692
ankle_angle_right_std,0.187141684,4.457726738e-05,0.4635274734,0.008564318557,0.9914356814
knee_flexion_right_maximum,0.1759738167,0.0003984060915,0.4253586799,0.02835491141,0.9716450886
hip_flexion_right_mean,0.1736681645,0.0006072969962,0.4261202599,0.01488570892,0.9851142911
hip_flexion_left_mean,0.1636337316,0.0005734221888,0.4010680523,0.01488570892,0.9851142911
knee_flexion_left_minimum,0.1454705363,4.766850427e-05,0.3003658715,0.1265256017,0.8734743983
knee_flexion_left_median,0.143249448,0.002234504877,0.3499273817,0.01192346697,0.988076533
knee_flexion_right_median,0.1375611366,0.002266913567,0.3356741944,0.01192346697,0.988076533
ankle_angle_right_time_to_peak,0.1239584267,2.453633585e-07,0.2215195286,0.1767525854,0.8232474146
knee_flexion_right_rom,0.1220703892,0.0005274512019,0.288972469,0.0313521055,0.9686478945
knee_flexion_left_maximum,0.1199094148,0.0004324715998,0.2851636098,0.02835491141,0.9716450886
knee_flexion_right_time_to_peak,0.1182633575,0,0.2815065693,0.02830364898,0.971696351
knee_flexion_left_time_to_peak,0.1120385351,4.231868462e-08,0.2659444709,0.02830364898,0.971696351
