feature,variance,std,non_null_count,unique_non_null_values,near_constant,very_low_variance,very_low_variance_threshold
knee_flexion_right_time_to_peak,0.644158943,0.8025951302,249,207,False,True,2.041917148
knee_flexion_left_time_to_peak,0.6535326406,0.8084136568,249,202,False,True,2.041917148
ankle_angle_right_time_to_peak,0.6985075585,0.8357676463,249,203,False,True,2.041917148
ankle_angle_left_time_to_peak,0.868086332,0.9317115069,249,210,False,True,2.041917148
hip_flexion_right_time_to_peak,0.8726333095,0.9341484408,249,216,False,True,2.041917148
hip_flexion_left_time_to_peak,0.9017443187,0.9496021897,249,213,False,True,2.041917148
knee_flexion_rom_absolute_difference,2.802032367,1.673927229,249,249,False,False,2.041917148
knee_flexion_rom_percent_difference,3.477025005,1.864678258,249,249,False,False,2.041917148
hip_flexion_rom_absolute_difference,4.702837893,2.168602751,249,249,False,False,2.041917148
ankle_angle_rom_absolute_difference,5.124914443,2.263827388,249,249,False,False,2.041917148
hip_flexion_rom_percent_difference,8.176558019,2.859468136,249,249,False,False,2.041917148
ankle_angle_left_std,8.470682937,2.91044377,249,249,False,False,2.041917148
knee_flexion_rom_symmetry_index,8.801717367,2.966768843,249,249,False,False,2.041917148
ankle_angle_right_maximum,10.0345384,3.167733953,249,249,False,False,2.041917148
ankle_angle_right_std,10.51813842,3.243167961,249,249,False,False,2.041917148
knee_flexion_left_minimum,11.20285535,3.347066679,249,249,False,False,2.041917148
ankle_angle_rom_percent_difference,11.30534627,3.362342378,249,249,False,False,2.041917148
ankle_angle_left_maximum,11.8327501,3.439876466,249,249,False,False,2.041917148
knee_flexion_right_minimum,12.19086598,3.491542063,249,249,False,False,2.041917148
ankle_angle_left_minimum,17.55604427,4.18999335,249,249,False,False,2.041917148
hip_flexion_rom_symmetry_index,17.62220506,4.197881021,249,249,False,False,2.041917148
ankle_angle_left_rom,19.43643696,4.408677462,249,249,False,False,2.041917148
ankle_angle_right_mean,22.62799497,4.756889211,249,249,False,False,2.041917148
ankle_angle_right_minimum,23.20155162,4.816798897,249,249,False,False,2.041917148
ankle_angle_rom_symmetry_index,24.89324416,4.989312995,249,249,False,False,2.041917148
ankle_angle_left_mean,25.95915739,5.095012992,249,249,False,False,2.041917148
ankle_angle_right_rom,26.69661587,5.1668768,249,249,False,False,2.041917148
knee_flexion_left_std,30.14550046,5.490491823,249,249,False,False,2.041917148
knee_flexion_right_std,32.45306077,5.696758795,249,249,False,False,2.041917148
hip_flexion_right_std,56.76132325,7.5340111,249,249,False,False,2.041917148
hip_flexion_left_std,57.25334922,7.566594294,249,249,False,False,2.041917148
knee_flexion_right_maximum,88.89213382,9.428262503,249,249,False,False,2.041917148
knee_flexion_left_mean,91.13161825,9.546288192,249,249,False,False,2.041917148
knee_flexion_right_mean,91.63327923,9.572527317,249,249,False,False,2.041917148
knee_flexion_left_maximum,96.43773162,9.820271464,249,249,False,False,2.041917148
knee_flexion_right_rom,117.475958,10.83863266,249,249,False,False,2.041917148
ankle_angle_right_median,119.2771286,10.9214069,249,249,False,False,2.041917148
ankle_angle_left_median,119.7297871,10.94211072,249,249,False,False,2.041917148
knee_flexion_left_rom,124.2757374,11.14790282,249,249,False,False,2.041917148
hip_flexion_left_mean,127.6586499,11.29861274,249,249,False,False,2.041917148
hip_flexion_right_mean,135.162007,11.62591962,249,249,False,False,2.041917148
hip_flexion_right_maximum,137.6056216,11.73054226,249,249,False,False,2.041917148
hip_flexion_left_maximum,139.877532,11.82698322,249,249,False,False,2.041917148
hip_flexion_right_minimum,184.7861768,13.59360794,249,249,False,False,2.041917148
hip_flexion_left_minimum,185.9393352,13.63595744,249,249,False,False,2.041917148
hip_flexion_right_rom,363.5797653,19.06776771,249,249,False,False,2.041917148
hip_flexion_left_rom,367.3525837,19.16644421,249,249,False,False,2.041917148
hip_flexion_left_median,443.3801108,21.05659305,249,249,False,False,2.041917148
hip_flexion_right_median,455.1930124,21.33525281,249,249,False,False,2.041917148
knee_flexion_left_median,495.5927415,22.26191235,249,249,False,False,2.041917148
knee_flexion_right_median,502.7713498,22.42256341,249,249,False,False,2.041917148
ankle_angle_left_variance,15360.34821,123.9368719,249,249,False,False,2.041917148
ankle_angle_right_variance,19412.00683,139.3269781,249,249,False,False,2.041917148
knee_flexion_left_variance,125799.7727,354.6826366,249,249,False,False,2.041917148
knee_flexion_right_variance,139052.0038,372.8967736,249,249,False,False,2.041917148
hip_flexion_left_variance,211035.2543,459.3857358,249,249,False,False,2.041917148
hip_flexion_right_variance,221503.2185,470.6412843,249,249,False,False,2.041917148
