feature_1,feature_2,correlation,absolute_correlation
ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,0.9974339397,0.9974339397
knee_flexion_left_std,knee_flexion_left_variance,0.9948118779,0.9948118779
knee_flexion_right_std,knee_flexion_right_variance,0.9946143713,0.9946143713
ankle_angle_left_std,ankle_angle_left_variance,0.9928041748,0.9928041748
ankle_angle_right_std,ankle_angle_right_variance,0.9914356814,0.9914356814
hip_flexion_right_median,hip_flexion_left_median,0.9900167614,0.9900167614
hip_flexion_right_std,hip_flexion_right_variance,0.988831994,0.988831994
knee_flexion_right_median,knee_flexion_left_median,0.988076533,0.988076533
hip_flexion_right_std,hip_flexion_left_std,0.98736553,0.98736553
hip_flexion_left_std,hip_flexion_left_variance,0.9870885937,0.9870885937
hip_flexion_right_variance,hip_flexion_left_variance,0.9852488809,0.9852488809
hip_flexion_right_mean,hip_flexion_left_mean,0.9851142911,0.9851142911
hip_flexion_right_rom,hip_flexion_left_rom,0.9846491813,0.9846491813
knee_flexion_right_mean,knee_flexion_left_mean,0.9837597007,0.9837597007
hip_flexion_right_minimum,hip_flexion_left_minimum,0.9825642805,0.9825642805
hip_flexion_right_std,hip_flexion_left_variance,0.9796889333,0.9796889333
knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,0.9773594204,0.9773594204
knee_flexion_right_std,knee_flexion_left_std,0.9755519779,0.9755519779
hip_flexion_right_maximum,hip_flexion_left_maximum,0.9723844645,0.9723844645
knee_flexion_right_variance,knee_flexion_left_variance,0.9720324985,0.9720324985
knee_flexion_right_time_to_peak,knee_flexion_left_time_to_peak,0.971696351,0.971696351
knee_flexion_right_maximum,knee_flexion_left_maximum,0.9716450886,0.9716450886
knee_flexion_right_std,knee_flexion_left_variance,0.9711304933,0.9711304933
hip_flexion_right_variance,hip_flexion_left_std,0.9698873042,0.9698873042
knee_flexion_right_rom,knee_flexion_left_rom,0.9686478945,0.9686478945
ankle_angle_right_median,ankle_angle_left_median,0.9679590204,0.9679590204
knee_flexion_right_variance,knee_flexion_left_std,0.966576586,0.966576586
knee_flexion_left_maximum,knee_flexion_left_rom,0.9568841603,0.9568841603
knee_flexion_right_maximum,knee_flexion_right_rom,0.9500842815,0.9500842815
