feature,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_percent,zscore_threshold,zscore_outlier_count,zscore_outlier_percent
hip_flexion_right_mean,16.47207256,76.46998916,4,1.606425703,3,1,0.4016064257
hip_flexion_right_median,-8.448190155,96.65097636,8,3.212851406,3,0,0
hip_flexion_right_std,5.70310036,56.55117836,0,0,3,0,0
hip_flexion_right_variance,-573.4575447,2592.052874,1,0.4016064257,3,2,0.8032128514
hip_flexion_right_maximum,60.82644625,124.7217558,1,0.4016064257,3,0,0
hip_flexion_right_minimum,-32.00782231,41.37121609,2,0.8032128514,3,1,0.4016064257
hip_flexion_right_rom,26.5655451,146.407555,0,0,3,0,0
hip_flexion_right_time_to_peak,0.746,4.986,11,4.417670683,3,1,0.4016064257
hip_flexion_left_mean,18.63672062,74.23368158,8,3.212851406,3,2,0.8032128514
hip_flexion_left_median,-10.35059495,98.84032268,3,1.204819277,3,0,0
hip_flexion_left_std,6.469250095,55.31586366,0,0,3,0,0
hip_flexion_left_variance,-517.3655977,2500.627978,1,0.4016064257,3,1,0.4016064257
hip_flexion_left_maximum,58.19114345,125.3888571,1,0.4016064257,3,1,0.4016064257
hip_flexion_left_minimum,-34.68423863,45.53845693,1,0.4016064257,3,1,0.4016064257
hip_flexion_left_rom,23.90552665,147.7970112,0,0,3,0,0
hip_flexion_left_time_to_peak,0.71,5.046,11,4.417670683,3,1,0.4016064257
knee_flexion_right_mean,27.72411178,67.83542286,14,5.62248996,3,3,1.204819277
knee_flexion_right_median,-18.13146661,114.2527257,0,0,3,0,0
knee_flexion_right_std,18.14461056,49.82441024,1,0.4016064257,3,0,0
knee_flexion_right_variance,94.00586775,2247.25083,0,0,3,0,0
knee_flexion_right_maximum,74.62186165,127.7317637,1,0.4016064257,3,0,0
knee_flexion_right_minimum,-3.76769845,7.43913771,20,8.032128514,3,5,2.008032129
knee_flexion_right_rom,68.21734945,129.0955723,1,0.4016064257,3,0,0
knee_flexion_right_time_to_peak,0.898,4.306,14,5.62248996,3,2,0.8032128514
knee_flexion_left_mean,27.59056956,68.7960642,11,4.417670683,3,2,0.8032128514
knee_flexion_left_median,-17.93137164,113.8225264,0,0,3,0,0
knee_flexion_left_std,17.44446118,50.3738593,1,0.4016064257,3,1,0.4016064257
knee_flexion_left_variance,50.16580475,2283.382282,0,0,3,0,0
knee_flexion_left_maximum,73.44137725,128.1316796,0,0,3,0,0
knee_flexion_left_minimum,-4.34378767,8.47532649,13,5.220883534,3,5,2.008032129
knee_flexion_left_rom,66.96626785,130.7761593,1,0.4016064257,3,0,0
knee_flexion_left_time_to_peak,0.906,4.282,15,6.024096386,3,2,0.8032128514
ankle_angle_right_mean,-1.881873787,23.93800851,0,0,3,0,0
ankle_angle_right_median,-22.03007475,51.80794853,0,0,3,0,0
ankle_angle_right_std,11.74674086,28.57756233,7,2.81124498,3,5,2.008032129
ankle_angle_right_variance,71.59297915,750.2841267,7,2.81124498,3,5,2.008032129
ankle_angle_right_maximum,27.68258944,44.33291931,6,2.409638554,3,3,1.204819277
ankle_angle_right_minimum,-43.75119695,-32.00680767,38,15.26104418,3,10,4.016064257
ankle_angle_right_rom,58.37922847,86.52465962,1,0.4016064257,3,0,0
ankle_angle_right_time_to_peak,0.522,4.858,6,2.409638554,3,1,0.4016064257
ankle_angle_left_mean,-4.852755318,26.67357292,0,0,3,0,0
ankle_angle_left_median,-19.33385654,48.80599293,0,0,3,0,0
ankle_angle_left_std,12.73459264,27.20062331,7,2.81124498,3,6,2.409638554
ankle_angle_left_variance,113.1231205,690.82718,9,3.614457831,3,5,2.008032129
ankle_angle_left_maximum,23.6514612,46.9456452,0,0,3,0,0
ankle_angle_left_minimum,-42.59520887,-33.78181354,44,17.67068273,3,6,2.409638554
ankle_angle_left_rom,59.62985313,85.13426209,1,0.4016064257,3,0,0
ankle_angle_left_time_to_peak,0.798,4.526,17,6.827309237,3,1,0.4016064257
hip_flexion_rom_absolute_difference,-2.789742525,7.385651675,6,2.409638554,3,1,0.4016064257
hip_flexion_rom_percent_difference,-3.451573491,9.081525453,8,3.212851406,3,4,1.606425703
hip_flexion_rom_symmetry_index,-9.844926575,8.844701905,6,2.409638554,3,3,1.204819277
knee_flexion_rom_absolute_difference,-2.55311455,6.61278937,5,2.008032129,3,2,0.8032128514
knee_flexion_rom_percent_difference,-2.544720486,6.609893255,6,2.409638554,3,3,1.204819277
knee_flexion_rom_symmetry_index,-7.456491105,7.425116391,4,1.606425703,3,1,0.4016064257
ankle_angle_rom_absolute_difference,-2.764319315,7.125626165,12,4.819277108,3,6,2.409638554
ankle_angle_rom_percent_difference,-3.878357978,10.01053543,13,5.220883534,3,7,2.81124498
ankle_angle_rom_symmetry_index,-12.07521071,11.30145195,12,4.819277108,3,2,0.8032128514
