feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
hip_flexion_right_mean,0.02173530167,-0.2367003282,0.08302369942,-0.07370517072,0.1716873364,-0.03686587026,0.09896108709,-0.1324254449,0.03845336251,-0.1723619208
hip_flexion_right_median,0.02058540689,-0.2456095925,0.09426069004,-0.02528504199,0.172411327,0.09317929469,0.03225787985,0.06369340392,-0.0126689955,0.09067520533
hip_flexion_right_std,-0.216981111,0.06664198641,0.1475235406,-0.07956678878,0.1010693453,0.007235936078,-0.05287275023,0.001950466331,-0.01222849744,0.001059827033
hip_flexion_right_variance,-0.2112732247,0.06272461541,0.1593255138,-0.08076787873,0.1089752387,-0.01061097707,-0.07538652395,-0.02333632978,-0.01393764164,-0.007907903027
hip_flexion_right_maximum,-0.1500261653,-0.05286796365,0.1740510335,-0.1368641099,0.1092681544,-0.1555438189,0.1726650977,-0.1760422774,0.19329878,-0.1859430274
hip_flexion_right_minimum,0.1664636279,-0.1362796176,-0.1116183859,-0.03690845875,0.03117615061,-0.1491825975,0.1066907749,-0.1570249343,0.05841244252,-0.2080832478
hip_flexion_right_rom,-0.210970137,0.06463062847,0.1866505631,-0.05788675023,0.04499626532,0.01066283184,0.03016308304,0.003643007426,0.07727510057,0.03395203675
hip_flexion_right_time_to_peak,0.009393155347,0.1426599665,-0.1926012858,-0.1409718244,0.2495336666,0.07953027806,-0.05052177643,0.03470022451,-0.08407230875,-0.1096800876
hip_flexion_left_mean,0.01661875222,-0.2401953057,0.06045216099,-0.08497502834,0.1674547821,-0.01249604103,0.1215826332,-0.105441594,0.05120569283,-0.183227979
hip_flexion_left_median,0.01426945184,-0.2462701296,0.07654136645,-0.03013466077,0.1662187808,0.1098203555,0.04260142914,0.07815400928,-0.007583114443,0.08700439708
hip_flexion_left_std,-0.2187393983,0.06611259687,0.1368482022,-0.09516472353,0.09177151153,0.03860044229,-0.03586825446,0.02575845468,0.009612520997,-0.0138252443
hip_flexion_left_variance,-0.2137691347,0.06172917901,0.1506796601,-0.09361430484,0.1037019298,0.01835885379,-0.06362305468,-0.005814622045,0.009378282502,-0.01771972506
hip_flexion_left_maximum,-0.1596064019,-0.05429963467,0.1424037824,-0.1626149237,0.09792283975,-0.1112013695,0.1975940748,-0.1338103753,0.2226769124,-0.2130560264
