source_row,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,3.475531073,4.77719452,0.2384260038,4.348363423,-0.8997872977,0.5175687509,-1.700844986,1.870078718,0.02387894308,-0.4708427421
1,2.452062778,2.946317216,-1.577535924,3.470222404,-0.4441636834,1.889755956,-2.62038888,-0.1713883337,-0.04780916773,-0.479508771
2,4.298444892,4.747085795,0.8304613873,2.301139216,0.2018384562,2.165733222,0.2152008738,-0.538837669,-2.541192554,1.246120649
3,1.572824089,-0.2354363434,-0.7076994942,2.936319182,-0.1264428383,0.568320437,-0.9530957454,0.02049828665,-1.325697031,1.455851304
4,2.751025412,2.745174915,-0.5468540476,1.878224323,-0.6865321195,2.188522543,-0.7172823703,-0.5269393971,-2.31923234,0.409376126
5,1.480126279,3.990311392,-2.135614608,1.916393612,-1.194719926,1.40855294,-1.814734254,-0.7205366844,-0.4553131731,-0.1253198164
6,-0.8707634712,-3.756222687,-2.710053017,-1.253793536,-0.2176555499,1.151162271,-0.3737863444,0.3593482805,-1.965667736,1.578396561
7,-2.280385486,0.5084527645,-5.615967479,-2.105811637,-0.4070641587,0.1351304264,-0.8683538263,-0.41784452,-1.122775333,-0.1586528478
8,-0.8187929785,-1.77477341,-3.97836934,-1.878427252,0.224971015,-0.03162545468,0.8404521189,0.1657145726,-1.038807608,1.784450605
9,-0.5051304357,-3.771941016,-3.341709961,-1.587347151,0.2509748261,1.584316961,-0.1171486831,0.6623536527,-0.6887872799,1.251289426
10,-0.5222681177,-3.70457104,-2.811426515,-1.769499168,0.6958011136,0.418766066,-1.776776394,1.145686842,-0.07122202588,1.654689796
11,-0.6227594853,-1.44841727,-3.834850635,-1.250757832,-0.01921037468,1.443506628,0.9249765104,0.1666498488,-1.129673335,1.21127645
12,6.233033591,-0.9545640299,1.011977013,-3.823756725,-2.412370759,1.205446659,1.372629964,1.821753855,-0.2263037811,0.2081532429
13,7.920999879,-3.404832865,2.913570111,-2.786454041,-4.390732049,-0.06850600772,1.462647527,3.045431825,0.09512720501,-0.4271751787
14,5.202379846,-1.798396432,0.9242708808,-4.868269808,-1.688262954,0.05871163724,0.1724567358,0.9605267674,0.05027473208,1.410091213
15,7.657982483,-1.404652641,1.568616285,-3.286506371,-1.864264103,2.468597986,0.9426654973,1.714494455,-0.9260036596,0.4297283093
16,8.054481301,-0.2743167907,1.157132938,-4.100072276,-1.042305631,1.260442043,1.366943733,2.998550883,0.8779551195,-0.4569183399
17,5.864271234,-2.208795533,2.727907327,-3.618666985,-0.9916063337,0.7410068925,0.8405720148,3.549371533,-0.0485771294,-0.9400436782
18,-6.425377498,1.427947934,-2.31358844,-1.838571585,1.588233503,-0.4913225616,0.2219211808,-0.8635760247,-0.5866575924,-1.399836672
19,-4.806706498,-4.32800421,-0.1869399201,-2.634530717,3.321578461,0.8290994916,1.065438798,-0.1309677692,-0.2850459425,0.7035409848
20,-4.805133475,-0.5171777147,-3.099258318,-2.362645667,2.745528589,-0.1297379405,0.2464626171,0.1641124407,-0.07268237151,-0.4745679541
21,-4.154767868,-9.148548984,0.7805497999,0.7562632348,-0.06105458223,1.078192528,1.18371134,0.7081573017,1.231270559,-0.859378892
22,-5.595053647,-2.381067998,-0.3256125354,-2.841185078,3.45058927,1.389625765,-0.2845072183,0.5977756906,0.6628510002,-0.1154808564
