component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,14.57621612,0.2546960895,0.2546960895
PC2,11.98537141,0.2094252173,0.4641213068
PC3,6.063261708,0.1059458116,0.5700671184
PC4,4.593645345,0.08026661352,0.6503337319
PC5,2.893428113,0.05055803368,0.7008917655
PC6,2.30802411,0.04032903399,0.7412207995
PC7,2.024346776,0.03537222577,0.7765930253
PC8,1.981527403,0.03462402565,0.811217051
PC9,1.694351533,0.02960608612,0.8408231371
PC10,1.405167325,0.02455305408,0.8653761912
