feature,count,mean,std,min,p05,p25,median,p75,p95,max
hip_flexion_right_mean,42,46.96279442,10.21952553,28.17043643,29.60955121,40.31917292,45.94889489,53.59096692,65.42251943,72.33906812
hip_flexion_right_median,42,44.82419602,17.16089614,13.96976518,19.68786743,33.50005417,42.28214125,55.77905559,72.79453112,90.95073176
hip_flexion_right_std,42,31.7558809,7.028250461,14.07211304,21.45963996,25.49161685,33.74566999,36.52973865,40.48387594,44.56068232
hip_flexion_right_variance,42,1066.574183,435.4279397,202.7949831,461.3552501,654.6158773,1158.669168,1342.211909,1651.29061,1992.135984
hip_flexion_right_maximum,42,92.32795922,10.99803482,70.54666971,75.24228414,85.17509218,89.80469139,100.539916,110.9507531,117.2703516
hip_flexion_right_minimum,42,4.154237154,12.79154333,-23.89963342,-11.20591856,-3.869956443,2.239431905,13.30983007,25.63397615,40.70929175
hip_flexion_right_rom,42,88.17372207,18.16690157,45.78322662,60.53165345,71.19012558,94.21346498,101.6152034,115.8425729,120.1884388
hip_flexion_right_time_to_peak,42,2.870777778,0.6560889073,1.321333333,1.940433333,2.442333333,2.883666667,3.229,3.9253,4.456666667
hip_flexion_left_mean,42,46.83602905,9.838548489,26.76773922,31.27212202,40.28376079,45.64686065,52.53717475,61.14325678,72.32015141
hip_flexion_left_median,42,44.74661409,16.79886461,10.3429173,20.41214415,34.59792474,43.41373105,55.35555487,72.8239368,90.36427121
hip_flexion_left_std,42,31.37637343,7.040305575,11.45676457,21.68037581,24.63919416,32.79871149,36.81453878,40.18973938,43.64201422
hip_flexion_left_variance,42,1042.907635,423.2090542,134.794353,471.8252583,616.25505,1095.73174,1358.624307,1629.736534,1908.528181
hip_flexion_left_maximum,42,91.76613148,11.10213735,69.22432553,72.85001949,83.56237239,89.43297088,98.50750981,110.6525973,113.1251531
hip_flexion_left_minimum,42,4.244707905,12.68428191,-24.81035016,-12.18806141,-3.969167362,1.921452572,13.69846859,26.10407559,35.3179577
hip_flexion_left_rom,42,87.52142357,18.12187009,41.81792167,59.96098216,72.08311676,91.79494675,99.97317434,113.9574424,115.9036424
hip_flexion_left_time_to_peak,42,2.908888889,0.6889600885,0.996,1.939333333,2.465166667,2.926333333,3.364,3.972166667,4.498666667
knee_flexion_right_mean,42,48.36279826,8.150652165,31.82367574,34.25748793,43.01147369,47.69699096,52.46652608,61.92464809,67.66251517
knee_flexion_right_median,42,47.64388864,18.10125271,12.72377308,15.29774867,36.45065243,46.85798744,61.55200164,74.18898471,89.29544961
knee_flexion_right_std,42,33.84870503,5.128238933,23.60785119,24.68270204,30.28454272,34.60372921,37.97400223,40.79429638,41.37801221
knee_flexion_right_variance,42,1178.254242,336.9367325,563.8662891,617.3491928,920.0608406,1201.875195,1444.793799,1665.268991,1717.273947
knee_flexion_right_maximum,42,101.0619943,8.501011781,86.69600043,87.04514771,95.0638442,101.55417,107.0655405,113.9979418,120.6238487
knee_flexion_right_minimum,42,2.524596296,3.218572495,0.1181072383,0.2145443871,0.4912535838,1.583588033,3.256792832,8.194787181,17.82497316
